Exchange,Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
Nyse,WLK,Westlake Chemical Corporation,52.59,$6.77B,2004,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/wlk
Nyse,WLKP,Westlake Chemical Partners LP,23.9,$646.73M,2014,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/wlkp
Nyse,WMLP,"Westmoreland Resource Partners, LP",5.68,$32.57M,2015,Energy,Coal Mining,http://www.nasdaq.com/symbol/wmlp
Nyse,WBK,Westpac Banking Corporation,22.27,$71.27B,n/a,Finance,Commercial Banks,http://www.nasdaq.com/symbol/wbk
Nyse,WRK,Westrock Company,48.55,$12.21B,2015,Consumer Durables,Containers/Packaging,http://www.nasdaq.com/symbol/wrk
Nyse,WHG,Westwood Holdings Group Inc,50.53,$447.08M,n/a,Finance,Investment Managers,http://www.nasdaq.com/symbol/whg
Nyse,WEX,WEX Inc.,104.1,$4.45B,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/wex
Nyse,WY,Weyerhaeuser Company,31.85,$23.85B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/wy
Nyse,WGL,WGL Holdings Inc,63.79,$3.26B,n/a,Public Utilities,Oil/Gas Transmission,http://www.nasdaq.com/symbol/wgl
Nyse,WHR,Whirlpool Corporation,177.98,$13.43B,n/a,Consumer Durables,Consumer Electronics/Appliances,http://www.nasdaq.com/symbol/whr
Nyse,WTM,"White Mountains Insurance Group, Ltd.",827.76,$4.08B,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/wtm
Nyse,WSR,Whitestone REIT,14.52,$415.1M,2010,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/wsr
Nyse,WWAV,Whitewave Foods Company (The),55.66,$9.86B,2012,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/wwav
Nyse,WLL,Whiting Petroleum Corporation,7.4,$2.04B,2003,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/wll
Nyse,WG,"Willbros Group, Inc.",1.9,$118.97M,1996,Energy,Oilfield Services/Equipment,http://www.nasdaq.com/symbol/wg
Nyse,WMB,"Williams Companies, Inc. (The)",28.4,$21.32B,n/a,Public Utilities,Natural Gas Distribution,http://www.nasdaq.com/symbol/wmb
Nyse,WPZ,Williams Partners LP,38.47,$23.27B,n/a,Public Utilities,Natural Gas Distribution,http://www.nasdaq.com/symbol/wpz
Nyse,WSM,"Williams-Sonoma, Inc.",52.03,$4.64B,n/a,Consumer Services,Home Furnishings,http://www.nasdaq.com/symbol/wsm
Nyse,WGO,"Winnebago Industries, Inc.",24.25,$652.17M,n/a,Consumer Non-Durables,Homebuilding,http://www.nasdaq.com/symbol/wgo
Nyse,WIT,Wipro Limited,10.39,$25.26B,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/wit
Nyse,WNS,WNS (Holdings) Limited,29.23,$1.49B,2006,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/wns
Nyse,WWW,"Wolverine World Wide, Inc.",23.31,$2.32B,n/a,Consumer Non-Durables,Shoe Manufacturing,http://www.nasdaq.com/symbol/www
Nyse,WF,Woori Bank,29.88,$6.71B,2014,Finance,Commercial Banks,http://www.nasdaq.com/symbol/wf
Nyse,WDAY,"Workday, Inc.",88.98,$17.53B,2012,Technology,EDP Services,http://www.nasdaq.com/symbol/wday
Nyse,WK,Workiva Inc.,18.1,$743.16M,2014,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/wk
Nyse,INT,World Fuel Services Corporation,45.15,$3.18B,n/a,Energy,Oil Refining/Marketing,http://www.nasdaq.com/symbol/int
Nyse,WPT,"World Point Terminals, LP",15.42,$537.56M,2013,Energy,Oil Refining/Marketing,http://www.nasdaq.com/symbol/wpt
Nyse,WWE,"World Wrestling Entertainment, Inc.",21.19,$1.62B,n/a,Consumer Services,Movies/Entertainment,http://www.nasdaq.com/symbol/wwe
Nyse,WOR,"Worthington Industries, Inc.",43.29,$2.77B,n/a,Capital Goods,Steel/Iron Ore,http://www.nasdaq.com/symbol/wor
Nyse,WPX,"WPX Energy, Inc.",12.91,$4.45B,2011,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/wpx
Nyse,WPXP,"WPX Energy, Inc.",61.15,n/a,2015,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/wpxp
Nyse,WYN,Wyndham Worldwide Corp,70.7,$7.77B,n/a,Consumer Services,Hotels/Resorts,http://www.nasdaq.com/symbol/wyn
Nyse,XTLY,Xactly Corporation,14.72,$443.47M,2015,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/xtly
Nyse,XEL,Xcel Energy Inc.,41.71,$21.19B,n/a,Public Utilities,Power Generation,http://www.nasdaq.com/symbol/xel
Nyse,XHR,"Xenia Hotels & Resorts, Inc.",16.75,$1.8B,2015,Consumer Services,Hotels/Resorts,http://www.nasdaq.com/symbol/xhr
Nyse,XRM,"Xerium Technologies, Inc.",8.17,$130.8M,2005,Basic Industries,Textiles,http://www.nasdaq.com/symbol/xrm
Nyse,XRX,Xerox Corporation,9.89,$10.02B,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/xrx
Nyse,XIN,Xinyuan Real Estate Co Ltd,6.15,$410.26M,2007,Basic Industries,Homebuilding,http://www.nasdaq.com/symbol/xin
Nyse,XL,XL Group Ltd.,34.75,$9.56B,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/xl
Nyse,XOXO,"XO Group, Inc.",19.25,$509.07M,n/a,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/xoxo
Nyse,XPO,"XPO Logistics, Inc.",35.78,$3.94B,n/a,Consumer Services,Transportation Services,http://www.nasdaq.com/symbol/xpo
Nyse,XYL,Xylem Inc.,50.92,$9.12B,2011,Capital Goods,Fluid Controls,http://www.nasdaq.com/symbol/xyl
Nyse,YDKN,Yadkin Financial Corporation,26.15,$1.35B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ydkn
Nyse,AUY,Yamana Gold Inc.,4.57,$4.33B,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/auy
Nyse,YZC,Yanzhou Coal Mining Company Limited,5.91,$2.91B,1998,Energy,Coal Mining,http://www.nasdaq.com/symbol/yzc
Nyse,YELP,Yelp Inc.,38.78,$3B,2012,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/yelp
Nyse,YGE,Yingli Green Energy Holding Company Limited,3.81,$69.25M,2007,Technology,Semiconductors,http://www.nasdaq.com/symbol/yge
Nyse,YRD,Yirendai Ltd.,21.86,$1.28B,2015,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/yrd
Nyse,YPF,YPF Sociedad Anonima,17.36,$6.83B,1993,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/ypf
Nyse,YUM,"Yum! Brands, Inc.",91.26,$35.58B,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/yum
Nyse,YUME,"YuMe, Inc.",3.38,$115.79M,2013,Technology,Advertising,http://www.nasdaq.com/symbol/yume
Nyse,ZFC,ZAIS Financial Corp.,13.79,$121.86M,2013,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/zfc
Nyse,ZAYO,"Zayo Group Holdings, Inc.",29.35,$7.12B,2014,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/zayo
Nyse,ZEN,"Zendesk, Inc.",31.41,$2.95B,2014,Technology,EDP Services,http://www.nasdaq.com/symbol/zen
Nyse,ZPIN,Zhaopin Limited,15.4,$961.59M,2014,Technology,Professional Services,http://www.nasdaq.com/symbol/zpin
Nyse,ZBH,"Zimmer Biomet Holdings, Inc.",129.4,$25.88B,n/a,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/zbh
Nyse,ZB^A,Zions Bancorporation,25.0818,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/zb^a
Nyse,ZB^F,Zions Bancorporation,26.4,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/zb^f
Nyse,ZB^G,Zions Bancorporation,31.5399,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/zb^g
Nyse,ZB^H,Zions Bancorporation,26.17,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/zb^h
Nyse,ZBK,Zions Bancorporation,29.5801,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/zbk
Nyse,ZOES,"Zoe&#39;s Kitchen, Inc.",27.18,$528.88M,2014,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/zoes
Nyse,ZTS,Zoetis Inc.,51.26,$25.38B,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/zts
Nyse,ZF,"Zweig Fund, Inc. (The)",12.81,$218.59M,1986,n/a,n/a,http://www.nasdaq.com/symbol/zf
Nyse,ZTR,"Zweig Total Return Fund, Inc. (The)",12.43,$335.97M,1988,n/a,n/a,http://www.nasdaq.com/symbol/ztr
Amex,XXII,"22nd Century Group, Inc",1.05,$86.31M,n/a,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/xxii
Amex,FAX,Aberdeen Asia-Pacific Income Fund Inc,5.22,$1.34B,1986,n/a,n/a,http://www.nasdaq.com/symbol/fax
Amex,IAF,Aberdeen Australia Equity Fund Inc,5.83,$132.74M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/iaf
Amex,CH,"Aberdeen Chile Fund, Inc.",6.4,$60.07M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ch
Amex,ABE           ,Aberdeen Emerging Markets Smaller Company Opportunities Fund I,12.64,$122.34M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/abe
Amex,FCO,"Aberdeen Global Income Fund, Inc.",9.06,$79.4M,1992,n/a,n/a,http://www.nasdaq.com/symbol/fco
Amex,IF,"Aberdeen Indonesia Fund, Inc.",6.83,$64.62M,1990,n/a,n/a,http://www.nasdaq.com/symbol/if
Amex,ISL,"Aberdeen Israel Fund, Inc.",16.8584,$68M,1992,n/a,n/a,http://www.nasdaq.com/symbol/isl
Amex,ACU,Acme United Corporation.,20.84,$69.25M,1988,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/acu
Amex,AIII,"ACRE Realty Investors, Inc.",1.33,$27.22M,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/aiii
Amex,ATNM,"Actinium Pharmaceuticals, Inc.",1.7,$81.12M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/atnm
Amex,AE,"Adams Resources & Energy, Inc.",37.07,$156.35M,n/a,Energy,Oil Refining/Marketing,http://www.nasdaq.com/symbol/ae
Amex,ADK,Adcare Health Systems Inc,2.34,$46.68M,n/a,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/adk
Amex,ADK^A,Adcare Health Systems Inc,21.75,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/adk^a
Amex,ACY,AeroCentury Corp.,9.3798,$14.7M,n/a,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/acy
Amex,WGA,"AG&E Holdings, Inc.",0.2811,$3.27M,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/wga
Amex,AIRI,Air Industries Group,4.8,$36.34M,n/a,Capital Goods,Military/Government/Technical,http://www.nasdaq.com/symbol/airi
Amex,AA^,Alcoa Inc.,90.7516,n/a,n/a,Capital Goods,Metal Fabrications,http://www.nasdaq.com/symbol/aa^
Amex,AXU,Alexco Resource Corp,1.96,$179.65M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/axu
Amex,AAU,"Almaden Minerals, Ltd.",1.47,$119.72M,2015,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/aau
Amex,APT,"Alpha Pro Tech, Ltd.",3,$50.88M,n/a,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/apt
Amex,AAMC,Altisource Asset Management Corp,13.47,$22.69M,n/a,Finance,Real Estate,http://www.nasdaq.com/symbol/aamc
Amex,DIT,AMCON Distributing Company,90.32,$53.03M,n/a,Consumer Non-Durables,Food Distributors,http://www.nasdaq.com/symbol/dit
Amex,ADGE,American DG Energy Inc.,0.2401,$12.17M,n/a,Public Utilities,Power Generation,http://www.nasdaq.com/symbol/adge
Amex,AFCO,American Farmland Company,6,$101.53M,2015,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/afco
Amex,ALN,American Lorain Corporation,0.6461,$24.72M,n/a,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/aln
Amex,AMS,American Shared Hospital Services,2.671,$14.34M,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/ams
Amex,AMPE,"Ampio Pharmaceuticals, Inc.",0.8499,$44.21M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ampe
Amex,APHB,AmpliPhi Biosciences Corporation,1.6,$17.79M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/aphb
Amex,AXN,"Aoxing Pharmaceutical Company, Inc.",0.635,$48.39M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/axn
Amex,HRT,Arrhythmia Research Technology Inc.,4.4332,$12.49M,n/a,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/hrt
Amex,AKG,Asanko Gold Inc.,4.54,$894.53M,n/a,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),http://www.nasdaq.com/symbol/akg
Amex,AINC,Ashford Inc.,45.84,$92.4M,2014,Consumer Services,Professional Services,http://www.nasdaq.com/symbol/ainc
Amex,ASB.WS,Associated Banc-Corp,n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/asb.ws
Amex,AST,"Asterias Biotherapeutics, Inc.",2.96,$134.44M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/ast
Amex,AST.WS,"Asterias Biotherapeutics, Inc.",n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ast.ws
Amex,AWX,Avalon Holdings Corporation,2.96,$11.26M,n/a,Public Utilities,Environmental Services,http://www.nasdaq.com/symbol/awx
Amex,ASM,Avino Silver,2.28,$101.44M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/asm
Amex,BTG,B2Gold Corp,2.81,$2.61B,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/btg
Amex,BTN,"Ballantyne Strong, Inc",6.34,$90.26M,n/a,Miscellaneous,Industrial Machinery/Components,http://www.nasdaq.com/symbol/btn
Amex,BKJ,"Bancorp of New Jersey, Inc",11.25,$70.88M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/bkj
Amex,BCV,Bancroft Fund Limited,20.7,$106.22M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/bcv
Amex,BCV^A,Bancroft Fund Limited,25.69,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/bcv^a
Amex,BAA,BANRO CORPORATION,0.3585,$108.44M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/baa
Amex,BHB,"Bar Harbor Bankshares, Inc.",36.9,$222.61M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/bhb
Amex,BRN,"Barnwell Industries, Inc.",1.514,$12.53M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/brn
Amex,BGSF,BG Staffing Inc,17.58,$152.39M,n/a,Technology,Professional Services,http://www.nasdaq.com/symbol/bgsf
Amex,BPMX,BioPharmX Corporation,0.74,$21.36M,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/bpmx
Amex,BTX,"BioTime, Inc.",2.85,$294.67M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/btx
Amex,BTX.WS,"BioTime, Inc.",n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/btx.ws
Amex,BGI,Birks Group Inc.,1.78,$31.97M,n/a,Consumer Services,Consumer Specialties,http://www.nasdaq.com/symbol/bgi
Amex,BZM,BlackRock Maryland Municipal Bond Trust,16.06,$33.35M,2002,n/a,n/a,http://www.nasdaq.com/symbol/bzm
Amex,MHE,BlackRock Massachusetts Tax-Exempt Trust,15.2469,$36.07M,1993,n/a,n/a,http://www.nasdaq.com/symbol/mhe
Amex,BLE,BlackRock Municipal Income Trust II,16.09,$377.64M,2002,n/a,n/a,http://www.nasdaq.com/symbol/ble
Amex,BLJ,Blackrock New Jersey Municipal Bond Trust,17.45,$40.57M,2002,n/a,n/a,http://www.nasdaq.com/symbol/blj
Amex,BFY,BlackRock New York Municipal Income Trust II,16.99,$84.93M,2002,n/a,n/a,http://www.nasdaq.com/symbol/bfy
Amex,BHV,BlackRock Virginia Municipal Bond Trust,18.9999,$30.32M,2002,n/a,n/a,http://www.nasdaq.com/symbol/bhv
Amex,BDR,"Blonder Tongue Laboratories, Inc.",0.56,$4.14M,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/bdr
Amex,BRG,"Bluerock Residential Growth REIT, Inc.",13.42,$262.57M,2014,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/brg
Amex,BRG^A,"Bluerock Residential Growth REIT, Inc.",27.56,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/brg^a
Amex,BRG^C,"Bluerock Residential Growth REIT, Inc.",26.7993,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/brg^c
Amex,BVX,Bovie Medical Corporation,3.93,$106.87M,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/bvx
Amex,BWL.A,"Bowl America, Inc.",n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/bwl.a
Amex,BTI,British American Tobacco p.l.c.,129.19,$120.43B,n/a,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/bti
Amex,CANF,Can-Fite Biopharma Ltd,2.36,$33.22M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/canf
Amex,ROX,"Castle Brands, Inc.",0.8751,$140.59M,2006,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/rox
Amex,CAW,"CCA Industries, Inc.",3.17,$22.21M,n/a,Consumer Non-Durables,Package Goods/Cosmetics,http://www.nasdaq.com/symbol/caw
Amex,CVM,Cel-Sci Corporation,0.43,$62.5M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/cvm
Amex,CVM.WS,Cel-Sci Corporation,n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cvm.ws
Amex,CEF,Central Fund of Canada Limited,13.96,$3.55B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cef
Amex,CET,Central Securities Corporation,20.97,$513.9M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cet
Amex,LEU,Centrus Energy Corp.,3.5,$31.5M,2014,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),http://www.nasdaq.com/symbol/leu
Amex,CCF,Chase Corporation,65.29,$605.69M,n/a,Consumer Durables,Building Products,http://www.nasdaq.com/symbol/ccf
Amex,CQH,"Cheniere Energy Partners LP Holdings, LLC",20.42,$4.73B,2013,Public Utilities,Oil/Gas Transmission,http://www.nasdaq.com/symbol/cqh
Amex,CQP,"Cheniere Energy Partners, LP",27.08,$9.15B,2007,Public Utilities,Oil/Gas Transmission,http://www.nasdaq.com/symbol/cqp
Amex,LNG,"Cheniere Energy, Inc.",43.65,$10.29B,n/a,Public Utilities,Oil/Gas Transmission,http://www.nasdaq.com/symbol/lng
Amex,CVR,Chicago Rivet & Machine Co.,27.995,$27.05M,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/cvr
Amex,CPHI,"China Pharma Holdings, Inc.",0.27,$11.77M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cphi
Amex,CKX,"CKX Lands, Inc.",10.3001,$20.01M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/ckx
Amex,GLV,Clough Global Dividend and Income Fund,12.1801,$126.58M,2004,n/a,n/a,http://www.nasdaq.com/symbol/glv
Amex,GLQ,Clough Global Equity Fund,11.53,$203.54M,2005,n/a,n/a,http://www.nasdaq.com/symbol/glq
Amex,GLO,Clough Global Opportunities Fund,9.89,$510.07M,2006,n/a,n/a,http://www.nasdaq.com/symbol/glo
Amex,MOC,Command Security Corporation,2.63,$25.75M,n/a,Consumer Services,Diversified Commercial Services,http://www.nasdaq.com/symbol/moc
Amex,CIX,CompX International Inc.,12.09,$150.15M,1998,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/cix
Amex,LODE,"Comstock Mining, Inc.",0.3803,$69.71M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/lode
